content_id,asset_role,asset_id
map.prototype_field,background,asset.background.prototype_field
map.prototype_field,farm_plot,asset.farm_plot.empty
map.prototype_field,crop_seed,asset.crop_seed.common
crop.chili,crop_growing,asset.crop_growing.chili
crop.chili,crop_ready,asset.crop_ready.chili
crop.tomato,crop_growing,asset.crop_growing.tomato
crop.tomato,crop_ready,asset.crop_ready.tomato
crop.glutinous_rice,crop_growing,asset.crop_growing.glutinous_rice
crop.glutinous_rice,crop_ready,asset.crop_ready.glutinous_rice
crop.banana,crop_growing,asset.crop_growing.banana
crop.banana,crop_ready,asset.crop_ready.banana
player_base_stats.prototype,field_sprite,asset.field_sprite.player
resident.yeongsun,field_sprite,asset.field_sprite.yeongsun
resident.manbok,field_sprite,asset.field_sprite.manbok
resident.geumrye,field_sprite,asset.field_sprite.geumrye
resident.village_head,field_sprite,asset.field_sprite.village_head
wildlife.crow,field_sprite,asset.field_sprite.crow
wildlife.water_deer,field_sprite,asset.field_sprite.water_deer
wildlife.boar,field_sprite,asset.field_sprite.boar
throwable_weapon.chili_pouch,projectile,asset.projectile.chili_pouch
throwable_weapon.banana_peel,projectile,asset.projectile.banana_peel
throwable_weapon.tomato_bomb,projectile,asset.projectile.tomato_bomb
throwable_weapon.rice_glue_bottle,projectile,asset.projectile.rice_glue_bottle
resident.manbok,projectile,asset.projectile.manbok_coin
crop.chili,icon,asset.icon.chili
crop.tomato,icon,asset.icon.tomato
crop.banana,icon,asset.icon.banana
crop.glutinous_rice,icon,asset.icon.glutinous_rice
material.cloth_sack,icon,asset.icon.cloth_sack
material.empty_bottle,icon,asset.icon.empty_bottle
material.honey,icon,asset.icon.honey
throwable_weapon.chili_pouch,icon,asset.icon.chili_pouch
throwable_weapon.banana_peel,icon,asset.icon.banana_peel
throwable_weapon.tomato_bomb,icon,asset.icon.tomato_bomb
throwable_weapon.rice_glue_bottle,icon,asset.icon.rice_glue_bottle
recovery_item.honey_tomato,icon,asset.icon.honey_tomato
recovery_item.honey_banana,icon,asset.icon.honey_banana
recovery_item.fruit_honey_bowl,icon,asset.icon.fruit_honey_bowl
crop_attribute.fiery,icon,asset.icon.fiery
crop_attribute.mushy,icon,asset.icon.mushy
crop_attribute.slippery,icon,asset.icon.slippery
crop_attribute.sticky,icon,asset.icon.sticky
player_base_stats.prototype,portrait,asset.portrait.player
resident.yeongsun,portrait,asset.portrait.yeongsun
resident.manbok,portrait,asset.portrait.manbok
resident.geumrye,portrait,asset.portrait.geumrye
resident.village_head,portrait,asset.portrait.village_head
player_base_stats.prototype,field_sprite_left,asset.field_sprite_left.player
resident.yeongsun,field_sprite_left,asset.field_sprite_left.yeongsun
resident.manbok,field_sprite_left,asset.field_sprite_left.manbok
resident.geumrye,field_sprite_left,asset.field_sprite_left.geumrye
resident.village_head,field_sprite_left,asset.field_sprite_left.village_head
player_base_stats.prototype,field_sprite_right,asset.field_sprite_right.player
resident.yeongsun,field_sprite_right,asset.field_sprite_right.yeongsun
resident.manbok,field_sprite_right,asset.field_sprite_right.manbok
resident.geumrye,field_sprite_right,asset.field_sprite_right.geumrye
resident.village_head,field_sprite_right,asset.field_sprite_right.village_head
player_base_stats.prototype,field_sprite_attack,asset.field_sprite_attack.player
resident.yeongsun,field_sprite_attack,asset.field_sprite_attack.yeongsun
resident.manbok,field_sprite_attack,asset.field_sprite_attack.manbok
resident.geumrye,field_sprite_attack,asset.field_sprite_attack.geumrye
resident.village_head,field_sprite_attack,asset.field_sprite_attack.village_head
wildlife.crow,sfx,asset.sfx.wildlife_crow_cry
wildlife.water_deer,sfx,asset.sfx.wildlife_deer_cry
wildlife.boar,sfx,asset.sfx.wildlife_boar_cry
crop_attribute.fiery,sfx,asset.sfx.burn_tick
crop_attribute.mushy,sfx,asset.sfx.burn_tick
crop_attribute.slippery,sfx,asset.sfx.slow_tick
crop_attribute.sticky,sfx,asset.sfx.slow_tick
ending.neighbors,cutscene,asset.cutscene.neighbors
ending.beyond_fence,cutscene,asset.cutscene.beyond_fence
ending.silent_field,cutscene,asset.cutscene.silent_field
ending.new_family,cutscene,asset.cutscene.new_family
ending.empty_village_master,cutscene,asset.cutscene.empty_village_master
ending.global_fallback,cutscene,asset.cutscene.global_fallback
player_base_stats.prototype,portrait_fullbody,asset.portrait_fullbody.player
resident.yeongsun,portrait_fullbody,asset.portrait_fullbody.yeongsun
resident.manbok,portrait_fullbody,asset.portrait_fullbody.manbok
resident.geumrye,portrait_fullbody,asset.portrait_fullbody.geumrye
resident.village_head,portrait_fullbody,asset.portrait_fullbody.village_head
