personality_profile_id,choice_function,result_when_available_id,result_when_unavailable_id
personality_profile.timid,empathy,system_result.precombat.combat_weakened,
personality_profile.timid,resource_negotiation,system_result.precombat.combat_normal,system_result.precombat.combat_normal
personality_profile.timid,threat,system_result.precombat.combat_enraged,
personality_profile.pragmatic,empathy,system_result.precombat.combat_normal,
personality_profile.pragmatic,resource_negotiation,system_result.precombat.resolve,system_result.precombat.combat_normal
personality_profile.pragmatic,threat,system_result.precombat.combat_weakened,
personality_profile.stubborn,empathy,system_result.precombat.resolve,
personality_profile.stubborn,resource_negotiation,system_result.precombat.combat_enraged,system_result.precombat.combat_enraged
personality_profile.stubborn,threat,system_result.precombat.combat_normal,
personality_profile.chief,empathy,system_result.precombat.combat_weakened,
personality_profile.chief,resource_negotiation,system_result.precombat.combat_normal,system_result.precombat.combat_normal
personality_profile.chief,threat,system_result.precombat.combat_enraged,
