content_id,asset_role,asset_id
map.prototype_field,background,asset.background.prototype_field
map.prototype_field,farm_plot,asset.farm_plot.empty
map.prototype_field,crop_seed,asset.crop_seed.common
crop.chili,crop_growing,asset.crop_growing.chili
crop.chili,crop_ready,asset.crop_ready.chili
crop.tomato,crop_growing,asset.crop_growing.tomato
crop.tomato,crop_ready,asset.crop_ready.tomato
crop.glutinous_rice,crop_growing,asset.crop_growing.glutinous_rice
crop.glutinous_rice,crop_ready,asset.crop_ready.glutinous_rice
crop.banana,crop_growing,asset.crop_growing.banana
crop.banana,crop_ready,asset.crop_ready.banana
player_base_stats.prototype,field_sprite_left,asset.field_sprite_left.player
resident.yeongsun,field_sprite_left,asset.field_sprite_left.yeongsun
resident.manbok,field_sprite_left,asset.field_sprite_left.manbok
resident.geumrye,field_sprite_left,asset.field_sprite_left.geumrye
resident.village_head,field_sprite_left,asset.field_sprite_left.village_head
player_base_stats.prototype,field_sprite_right,asset.field_sprite_right.player
resident.yeongsun,field_sprite_right,asset.field_sprite_right.yeongsun
resident.manbok,field_sprite_right,asset.field_sprite_right.manbok
resident.geumrye,field_sprite_right,asset.field_sprite_right.geumrye
resident.village_head,field_sprite_right,asset.field_sprite_right.village_head
player_base_stats.prototype,field_sprite_attack,asset.field_sprite_attack.player
resident.yeongsun,field_sprite_attack,asset.field_sprite_attack.yeongsun
resident.manbok,field_sprite_attack,asset.field_sprite_attack.manbok
resident.geumrye,field_sprite_attack,asset.field_sprite_attack.geumrye
resident.village_head,field_sprite_attack,asset.field_sprite_attack.village_head
ending.neighbors,cutscene,asset.cutscene.neighbors
ending.beyond_fence,cutscene,asset.cutscene.beyond_fence
ending.silent_field,cutscene,asset.cutscene.silent_field
ending.new_family,cutscene,asset.cutscene.new_family
ending.empty_village_master,cutscene,asset.cutscene.empty_village_master
ending.global_fallback,cutscene,asset.cutscene.global_fallback
