choice_id,system_result_id,reaction_text,revealed_story_info_id
dialogue_choice.yeongsun_empathy,system_result.precombat.combat_weakened,"…부모님이 작년부터 몸져누우셨어! 흉년에 성한 집이 어딨는데. 열여섯부터 내가 가장이라고. 부, 불쌍한 척하지 마. 그런 눈으로 보지 말라고!",story_info.yeongsun_core
dialogue_choice.yeongsun_negotiation,system_result.precombat.combat_normal,"동정 따위 필요 없어! 거지 취급하지 마! 나는… 나는 뺏으러 온 거야!",
dialogue_choice.yeongsun_threat,system_result.precombat.combat_enraged,"히익…! 오, 오지 마! 오지 말라고 했다?! 아아악!",
dialogue_choice.yeongsun_recruit,system_result.surrender.recruit,"…정말? 도와주는 거야? 나 돌팔매 하나는 진짜 잘해. 두고 봐.",
dialogue_choice.yeongsun_retreat,system_result.surrender.retreat_reward,"…가져가. 다 가져가라고. …동생들한텐 뭐라고 하지.",
dialogue_choice.yeongsun_resume,system_result.surrender.resume_combat,"그, 그럴 줄 알았어…! 악!",
dialogue_choice.manbok_empathy,system_result.precombat.combat_normal,"동정은 됐습니다. …헌데 눈물로는 곡식이 안 생깁니다. 셈이 안 되면 몸으로 받지요.",story_info.manbok_core
dialogue_choice.manbok_negotiation,system_result.precombat.resolve,"…이거면 몇 집 약속은 지키겠군요. 역시 말이 통하는 분입니다. 다음엔 장에서 봅시다.",
dialogue_choice.manbok_negotiation,system_result.precombat.combat_normal,"물건도 없이 흥정을 하자고요? …그 심정, 나야말로 잘 압니다만. 시간 낭비였군요.",
dialogue_choice.manbok_threat,system_result.precombat.combat_weakened,"…거참, 무섭게 왜 이러십니까. 알겠습니다, 알겠는데… 빈손으론 못 갑니다. 마침 요즘 엽전은 던지는 것 말고는 쓸데도 없고 말입니다.",
dialogue_choice.manbok_recruit,system_result.surrender.recruit,"…고용이라고 칩시다. 품삯은 작물로 받지요. 이 밭이 마을을 먹인다면… 명단의 셈도 언젠간 맞겠지요.",
dialogue_choice.manbok_retreat,system_result.surrender.retreat_reward,"…이자까지 쳐서 받아 가시는군요. 오늘 셈은 제가 졌습니다.",
dialogue_choice.manbok_resume,system_result.surrender.resume_combat,"…끝까지 받아내시겠다? 좋습니다. 엽전이 얼마나 아픈지, 마저 셈을 하지요!",
dialogue_choice.geumrye_empathy,system_result.precombat.resolve,"…앉거라. 늙은이 옛말 하나 하마. 흉년은 하늘이 냈어도 굶주림은 사람이 만든 것이여. 이장이 집집의 곡식이며 씨앗까지 거둬다 곳간에 잠그고, 배급 몇 줌으로 마을을 무릎 꿇렸지. …우리 손주가 그걸 봤어. 마지막 씨앗 한 줌을 빼돌려 이 밭에 묻은 게 그 아이여. 이장이 알아버렸고… 그 겨울에 아이가 그리됐다. …자네 밭만 왜 자라는지, 인자 알겠는가.",story_info.geumrye_core_secret
dialogue_choice.geumrye_negotiation,system_result.precombat.combat_enraged,"시방… 늙은이를 곡식 몇 알로 사겠다는 거여?! 이런 못된 놈을 봤나!",
dialogue_choice.geumrye_threat,system_result.precombat.combat_normal,"…소리 지른다고 물러날 거면 오지도 않았어야. 오냐, 해보자.",
dialogue_choice.geumrye_recruit,system_result.surrender.recruit,"…늙은이 부지깽이도 쓸 데가 있다면야. 밥이나 한술 다오.",
dialogue_choice.geumrye_retreat,system_result.surrender.retreat_reward,"…그래, 가져가라. 산 사람은 살아야제.",
dialogue_choice.geumrye_resume,system_result.surrender.resume_combat,"…끝을 보자는 게냐. 그래, 늙은이도 물러설 데가 없다.",
dialogue_choice.head_empathy,system_result.precombat.combat_weakened,"…마을을 위해서, 라. 그 말을 네 입에서 들을 줄은 몰랐군. …닥쳐라. 흔들리자고 온 게 아니다.",story_info.head_core
dialogue_choice.head_negotiation,system_result.precombat.combat_normal,"하! 곡식 몇 알로 나를 사? 곳간 열쇠를 쥔 게 누군데. 우스운 놈.",
dialogue_choice.head_threat,system_result.precombat.combat_enraged,"…건방진 놈. 마을이 다 죽게 생겼을 때 네가 어디 있었지?! 오늘 밤 여기서 끝내주마!",
dialogue_choice.head_recruit,system_result.surrender.recruit,"…네 밭이 마을을 먹인다면… 낫을 거두마. 열쇠는 여기 두고 간다. 네가 지켜보아라.",
dialogue_choice.head_retreat,system_result.surrender.retreat_reward,"…오늘은 내가 진 걸로 하지. 허나 마을은 기억할 거다. 네가 이긴 방식을.",
dialogue_choice.head_resume,system_result.surrender.resume_combat,"그래… 그게 네 대답이라면, 끝까지 가자!",
